Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,In stock?,Stock
simple,WSJ-1001,Mens Spain 2026 World Cup Home Long Sleeve Jersey Player Version (Champion 2-Star),1,0,visible,Player Version,"Mens Spain 2026 World Cup Home Long Sleeve Jersey Player Version (Champion 2-Star) — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1002,Mens Spain 2026 World Cup Away Long Sleeve Jersey Player Version (Champion 2-Star),1,0,visible,Player Version,"Mens Spain 2026 World Cup Away Long Sleeve Jersey Player Version (Champion 2-Star) — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1003,Mens Spain 2026 World Cup Home Jersey Player Version (Champion 2-Star),1,0,visible,Player Version,"Mens Spain 2026 World Cup Home Jersey Player Version (Champion 2-Star) — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1004,Mens Spain 2026 World Cup Away Jersey Player Version (Champion 2-Star),1,0,visible,Player Version,"Mens Spain 2026 World Cup Away Jersey Player Version (Champion 2-Star) — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1005,Mens Real Madrid 2026/27 Away Jersey Player Version,1,0,visible,Player Version,"Mens Real Madrid 2026/27 Away Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1006,Mens Tottenham Hotspur 2026/27 Home Long Sleeve Jersey Player Version,1,0,visible,Player Version,"Mens Tottenham Hotspur 2026/27 Home Long Sleeve Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1007,Mens Real Madrid 2025/26 Home Jersey Player Version,1,0,visible,Player Version,"Mens Real Madrid 2025/26 Home Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1008,Mens FC Barcelona 2025/26 Home Jersey Player Version,1,0,visible,Player Version,"Mens FC Barcelona 2025/26 Home Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1009,Mens Manchester City 2025/26 Home Jersey Player Version,1,0,visible,Player Version,"Mens Manchester City 2025/26 Home Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1010,Mens Inter Miami 2025/26 Home Jersey (Messi 10),1,0,visible,Player Version,"Mens Inter Miami 2025/26 Home Jersey (Messi 10) — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",25,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
